        CG/HBCS        CG/ScaleStar
1        33.57        0.28
2        41.34        -0.06
3        30.58        3.37
4        12.76        13.61
5        1.54        20.05
6        2.04        24.33
7        3.46        27.50
8        4.44        30.00
9        5.45        31.92
10        6.80        33.53
11        7.11        34.86
12        7.66        35.95
13        8.07        36.89
14        8.63        37.73
15        8.94        38.42
16        8.97        39.03
17        9.35        39.61
18        9.42        40.09
19        9.75        40.55
20        9.79        40.92
