        CG/HBCS        CG/ScaleStar
1        40.98        0.16
2        41.07        0.09
3        30.35        10.04
4        4.05        19.08
5        0.14        24.73
6        2.38        28.42
7        3.54        31.16
8        4.43        33.19
9        5.63        34.81
10        6.06        36.13
11        6.62        37.23
12        6.89        38.17
13        7.37        38.96
14        7.55        39.61
15        7.70        40.19
16        7.98        40.70
17        8.29        41.16
18        8.39        41.56
19        8.39        41.94
20        8.48        42.27
