        CG/HBCS        CG/ScaleStar
1        32.80        -0.05
2        34.94        0.07
3        24.04        0.09
4        17.43        2.35
5        5.68        9.95
6        1.54        16.09
7        3.78        20.46
8        4.54        23.43
9        5.49        26.16
10        7.16        28.40
11        7.84        29.88
12        9.14        31.46
13        9.69        32.79
14        10.26        33.81
15        10.29        34.75
16        10.78        35.66
17        11.16        36.36
18        11.46        37.00
19        11.78        37.63
20        0.00        38.16
