        CG/HBCS        CG/ScaleStar
1        33.20        0.06
2        38.37        -0.01
3        31.41        -1.44
4        -0.40        -2.82
5        -20.12        -0.28
6        1.00        21.61
7        3.69        25.23
8        5.59        28.02
9        6.01        30.08
10        4.99        30.74
11        5.94        31.98
12        8.67        34.53
13        8.82        35.56
14        9.11        36.47
15        9.32        37.19
16        7.71        36.55
17        10.08        38.46
18        10.38        39.05
19        10.45        39.56
20        0.00        40.00
