        CG/HBCS        CG/ScaleStar
1        33.71        0.09
2        40.52        -0.03
3        32.98        -1.73
4        8.45        9.57
5        2.31        16.88
6        1.16        21.72
7        3.79        25.37
8        5.35        28.12
9        5.83        30.04
10        6.69        31.88
11        7.34        33.38
12        8.07        34.63
13        8.66        35.69
14        9.30        36.58
15        9.50        37.34
16        9.62        38.01
17        9.84        38.61
18        10.05        39.19
19        10.35        39.67
20        0.00        40.11
