        CG/HBCS        CG/ScaleStar
1        41.57        0.08
2        39.94        -0.45
3        30.61        9.81
4        5.63        18.92
5        0.21        24.70
6        2.29        28.38
7        3.73        31.07
8        4.31        33.10
9        5.44        34.76
10        6.12        36.09
11        6.52        37.19
12        6.99        38.10
13        7.43        38.91
14        7.58        39.57
15        7.91        40.16
16        8.00        40.66
17        8.19        41.12
18        8.46        41.53
19        8.33        41.90
20        0.00        42.23
