        CG/HBCS        CG/ScaleStar
1        39.19        0.18
2        40.82        0.01
3        30.50        8.90
4        9.94        17.88
5        0.18        23.59
6        1.77        27.57
7        3.71        30.42
8        4.67        32.59
9        5.62        34.30
10        6.29        35.66
11        6.75        36.84
12        7.13        37.76
13        7.47        38.55
14        7.79        39.25
15        7.91        39.87
16        8.34        40.42
17        8.47        40.90
18        8.63        41.33
19        8.69        41.73
20        0.00        42.05
