        CG/HBCS        CG/ScaleStar
1        33.95        0.29
2        38.96        -0.16
3        31.20        -1.92
4        11.25        9.15
5        0.64        16.59
6        1.18        21.66
7        3.56        25.28
8        5.36        28.05
9        5.67        30.08
10        6.57        31.83
11        7.48        33.29
12        8.09        34.53
13        8.69        35.61
14        9.20        36.49
15        9.38        37.24
16        9.63        37.94
17        10.01        38.55
18        10.19        39.10
19        10.35        39.63
20        0.00        40.06
