        CG/HBCS        CG/ScaleStar
1        38.11        0.01
2        41.23        0.10
3        26.63        7.08
4        9.10        16.50
5        0.43        22.42
6        1.81        26.54
7        3.53        29.54
8        4.29        31.69
9        5.34        33.52
10        6.28        35.01
11        6.86        36.21
12        7.24        37.21
13        7.77        38.02
14        8.13        38.77
15        8.32        39.42
16        8.60        39.96
17        8.75        40.49
18        8.82        40.95
19        8.92        41.36
20        0.00        41.70
