        CG/HBCS        CG/ScaleStar
1        31.98        0.12
2        34.87        -1.05
3        27.24        0.09
4        19.21        4.93
5        1.08        13.02
6        1.04        17.89
7        2.49        22.20
8        4.45        25.40
9        6.30        27.78
10        7.51        29.68
11        8.09        31.38
12        8.64        32.79
13        8.78        33.89
14        9.44        34.87
15        9.98        35.76
16        10.28        36.58
17        10.85        37.26
18        10.67        37.86
19        11.00        38.45
20        0.00        38.93
