        CG/HBCS        CG/ScaleStar
1        33.75        0.06
2        38.63        -0.02
3        31.32        -0.86
4        6.93        9.32
5        0.93        16.72
6        0.98        21.65
7        3.47        25.29
8        5.17        28.01
9        5.72        30.09
10        6.32        31.80
11        7.42        33.30
12        8.36        34.50
13        8.81        35.61
14        9.27        36.45
15        9.56        37.22
16        9.61        37.92
17        9.88        38.53
18        10.20        39.08
19        10.50        39.60
20        0.00        40.02
