        CG/HBCS        CG/ScaleStar
1        32.65        0.21
2        33.83        0.30
3        31.31        -0.01
4        10.94        0.03
5        7.83        4.74
6        -0.59        11.03
7        2.24        16.16
8        5.10        19.98
9        6.34        22.74
10        7.96        25.30
11        8.50        27.14
12        9.53        28.93
13        9.68        30.29
14        10.19        31.58
15        11.27        32.68
16        11.83        33.61
17        12.05        34.46
18        12.30        35.21
19        12.80        35.92
20        0.00        36.51
