        CG/HBCS        CG/ScaleStar
1        34.88        0.21
2        41.22        -0.06
3        28.73        3.31
4        12.05        13.54
5        0.02        19.93
6        2.11        24.26
7        3.18        27.46
8        4.49        29.97
9        5.65        31.90
10        6.59        33.50
11        7.10        34.85
12        7.69        35.95
13        8.06        36.91
14        8.57        37.72
15        9.05        38.42
16        9.13        39.04
17        9.22        39.59
18        9.62        40.09
19        9.81        40.54
20        9.70        40.93
