        CG/HBCS        CG/ScaleStar
1        36.58        0.06
2        40.67        0.10
3        26.25        5.14
4        14.12        15.13
5        0.45        21.32
6        2.05        25.53
7        3.60        28.65
8        5.04        31.00
9        6.05        32.85
10        6.26        34.35
11        7.05        35.61
12        7.46        36.64
13        8.11        37.54
14        8.44        38.28
15        8.46        38.97
16        8.77        39.56
17        9.21        40.08
18        9.19        40.54
19        9.40        40.98
20        0.00        41.34
