        CG/HBCS        CG/ScaleStar
1        34.91        0.05
2        40.03        0.01
3        29.28        3.38
4        8.40        13.61
5        0.13        20.01
6        1.81        24.30
7        3.15        27.47
8        4.59        29.96
9        5.76        31.98
10        6.60        33.54
11        7.25        34.91
12        7.74        36.02
13        8.19        36.93
14        8.60        37.76
15        8.78        38.45
16        9.22        39.08
17        9.23        39.62
18        9.36        40.13
19        9.45        40.57
20        0.00        40.96
