        CG/HBCS        CG/ScaleStar
1        32.61        0.06
2        34.75        0.66
3        21.64        0.09
4        15.69        2.28
5        3.20        9.98
6        1.09        16.10
7        3.42        20.48
8        4.09        23.49
9        5.42        26.24
10        6.95        28.35
11        8.23        30.00
12        9.12        31.51
13        9.68        32.80
14        9.94        33.83
15        10.08        34.75
16        10.67        35.62
17        11.01        36.38
18        11.51        37.01
19        11.84        37.62
20        0.00        38.17
