        CG/HBCS        CG/ScaleStar
1        40.48        0.16
2        39.99        -0.23
3        30.42        10.13
4        4.46        19.26
5        0.15        24.91
6        2.34        28.57
7        3.69        31.27
8        4.53        33.33
9        5.54        34.97
10        6.25        36.25
11        6.75        37.36
12        7.12        38.27
13        7.21        39.07
14        7.50        39.74
15        7.80        40.31
16        7.98        40.82
17        8.19        41.29
18        8.34        41.69
19        8.46        42.07
20        8.42        42.39
