        CG/HBCS        CG/ScaleStar
1        22.63        -1.53
2        29.90        0.24
3        30.01        0.36
4        22.73        0.03
5        8.24        -1.92
6        0.46        4.26
7        1.27        8.65
8        4.10        14.33
9        2.50        15.74
10        6.96        20.66
11        6.47        21.76
12        9.37        25.02
13        9.21        25.42
14        11.78        28.16
15        10.92        28.28
16        13.11        30.57
17        -1.26        20.15
18        13.22        32.49
19        11.15        31.25
20        0.00        34.02
