        CG/HBCS        CG/ScaleStar
1        0.00        0.00
2        0.34        0.34
3        31.37        0.00
4        0.53        0.53
5        0.00        0.00
6        0.74        0.00
7        1.68        0.95
8        0.00        0.00
9        0.00        0.00
10        0.00        0.28
11        2.45        1.38
12        15.09        2.61
13        0.00        10.11
14        0.00        0.33
15        2.72        1.46
16        4.33        3.09
17        9.33        3.09
18        -3.24        3.09
19        1.41        9.05
20        0.00        12.14
