        CG/HBCS        CG/ScaleStar
1        0.00        0.00
2        16.22        16.22
3        26.80        0.00
4        -14.20        0.00
5        0.00        0.00
6        13.80        13.80
7        2.81        13.80
8        0.00        0.00
9        0.00        0.00
10        18.82        0.00
11        -7.34        0.00
12        0.00        6.84
13        0.00        6.84
14        7.56        0.00
15        7.56        0.00
16        4.20        4.09
17        4.20        4.09
18        8.17        8.06
19        12.24        12.14
20        0.00        12.14
