        CG/HBCS        CG/ScaleStar
1        33.67        0.11
2        37.36        0.00
3        32.95        -2.02
4        11.07        8.96
5        3.82        16.52
6        1.07        21.62
7        3.35        25.21
8        4.97        27.90
9        6.04        29.99
10        6.74        31.73
11        7.53        33.19
12        8.17        34.47
13        9.19        35.52
14        9.18        36.40
15        9.36        37.17
16        9.53        37.87
17        9.87        38.47
18        10.14        39.02
19        10.37        39.54
20        0.00        39.98
