        CG/HBCS        CG/ScaleStar
1        11.40        1.24
2        23.20        0.22
3        18.92        0.54
4        11.54        -0.06
5        13.19        0.20
6        16.07        0.09
7        12.80        0.59
8        0.28        1.26
9        1.51        5.32
10        5.00        9.23
11        7.29        12.70
12        9.66        15.24
13        10.70        17.66
14        11.88        19.84
15        13.06        21.39
16        13.91        22.88
17        14.28        24.43
18        14.30        25.65
19        15.70        26.86
20        0.00        27.95
