        CG/HBCS        CG/ScaleStar
1        40.25        0.25
2        41.00        0.01
3        27.74        8.58
4        9.44        17.72
5        0.89        23.45
6        1.77        27.50
7        3.61        30.44
8        4.57        32.59
9        5.61        34.28
10        6.21        35.65
11        6.80        36.79
12        7.01        37.76
13        7.48        38.54
14        7.77        39.23
15        8.22        39.85
16        8.28        40.41
17        8.47        40.88
18        8.79        41.32
19        8.75        41.70
20        0.00        42.02
