        CG/HBCS        CG/ScaleStar
1        35.13        0.17
2        40.43        0.04
3        28.95        3.41
4        8.71        13.70
5        0.12        20.05
6        2.29        24.48
7        3.41        27.51
8        4.50        30.00
9        5.64        31.96
10        6.49        33.57
11        7.32        34.92
12        7.63        36.02
13        8.23        36.95
14        8.42        37.78
15        8.82        38.48
16        9.15        39.10
17        9.32        39.65
18        9.41        40.13
19        9.56        40.60
20        0.00        40.97
