        CG/HBCS        CG/ScaleStar
1        37.55        0.07
2        40.32        -0.04
3        26.95        5.15
4        13.74        15.03
5        0.44        21.28
6        2.05        25.52
7        3.41        28.57
8        4.97        30.93
9        5.90        32.76
10        6.52        34.28
11        7.12        35.54
12        7.68        36.57
13        7.99        37.45
14        8.41        38.24
15        8.65        38.92
16        8.85        39.50
17        8.96        40.01
18        9.18        40.48
19        9.36        40.91
20        0.00        41.27
