        CG/HBCS        CG/ScaleStar
1        29.01        -2.96
2        34.21        0.24
3        30.96        -0.84
4        19.99        0.07
5        3.90        1.46
6        0.12        7.91
7        1.41        13.38
8        2.98        17.19
9        5.66        20.47
10        7.04        22.91
11        8.98        25.16
12        9.83        26.83
13        10.95        28.62
14        11.28        29.84
15        10.98        31.04
16        11.38        31.99
17        12.29        32.97
18        12.72        33.85
19        13.23        34.58
20        0.00        35.29
