        CG/HBCS        CG/ScaleStar
1        39.66        0.07
2        40.77        0.02
3        28.38        8.86
4        6.10        17.83
5        0.11        23.51
6        1.92        27.50
7        3.90        30.39
8        4.85        32.59
9        5.44        34.26
10        6.32        35.62
11        6.77        36.75
12        7.02        37.70
13        7.52        38.49
14        7.77        39.17
15        7.90        39.78
16        8.13        40.34
17        8.45        40.82
18        8.70        41.26
19        8.74        41.65
20        0.00        41.97
