        CG/HBCS        CG/ScaleStar
1        34.01        0.12
2        40.30        0.01
3        30.56        1.33
4        6.11        11.24
5        0.18        17.94
6        1.35        22.80
7        3.59        26.32
8        4.58        29.02
9        5.64        31.13
10        6.83        32.77
11        7.55        34.12
12        8.08        35.24
13        8.18        36.24
14        8.60        37.08
15        9.00        37.82
16        9.31        38.48
17        9.64        39.07
18        9.83        39.58
19        10.12        40.08
20        0.00        40.50
