        CG/HBCS        CG/ScaleStar
1        33.15        0.04
2        34.64        0.13
3        29.67        0.10
4        21.06        4.90
5        -0.03        12.95
6        1.14        17.88
7        2.85        22.25
8        4.46        25.36
9        5.83        27.74
10        7.64        29.63
11        8.44        31.33
12        8.73        32.70
13        8.93        33.82
14        9.45        34.86
15        10.18        35.72
16        10.48        36.54
17        10.77        37.18
18        11.04        37.81
19        11.20        38.39
20        0.00        38.88
