        CG/HBCS        CG/ScaleStar
1        32.45        0.21
2        35.56        -0.41
3        26.13        -0.03
4        21.71        4.96
5        1.92        13.12
6        1.00        17.95
7        2.83        22.26
8        4.60        25.42
9        6.16        27.83
10        7.48        29.76
11        7.66        31.39
12        8.38        32.77
13        8.74        33.86
14        9.53        34.88
15        9.84        35.77
16        10.47        36.59
17        10.73        37.26
18        10.90        37.86
19        11.04        38.42
20        0.00        38.91
