        CG/HBCS        CG/ScaleStar
1        32.68        -0.02
2        33.89        0.25
3        30.60        0.03
4        7.34        -1.22
5        9.34        4.58
6        -0.91        10.50
7        1.75        15.72
8        5.15        19.94
9        6.69        22.52
10        7.41        25.09
11        8.17        26.91
12        9.09        28.74
13        9.58        30.11
14        10.35        31.38
15        11.31        32.54
16        11.52        33.43
17        11.73        34.31
18        12.18        35.06
19        12.71        35.78
20        0.00        36.41
