        CG/HBCS        CG/ScaleStar
1        14.22        0.03
2        29.09        0.03
3        31.51        -0.13
4        20.34        1.82
5        30.14        10.40
6        14.51        3.29
7        1.70        0.12
8        2.05        0.13
9        9.29        4.74
10        10.69        8.44
11        11.38        7.47
12        0.94        3.31
13        4.42        6.71
14        12.14        14.24
15        14.13        16.18
16        8.84        12.81
17        11.59        15.44
18        15.81        19.48
19        15.14        19.48
20        0.00        19.43
