        CG/HBCS        CG/ScaleStar
1        0.19        0.19
2        17.70        24.72
3        26.51        0.28
4        26.51        0.28
5        0.33        0.33
6        44.33        9.10
7        26.29        26.29
8        26.29        22.55
9        0.45        0.45
10        32.85        0.48
11        13.68        7.52
12        13.21        6.99
13        19.90        14.16
14        12.02        17.74
15        8.19        0.56
16        5.07        4.71
17        8.82        8.48
18        12.97        12.64
19        12.97        12.64
20        0.00        12.15
