        CG/HBCS        CG/ScaleStar
1        38.57        0.13
2        41.66        0.02
3        28.42        6.96
4        13.48        16.48
5        0.36        22.38
6        1.49        26.44
7        3.25        29.45
8        4.71        31.70
9        5.31        33.46
10        6.23        34.92
11        6.95        36.14
12        7.31        37.13
13        7.60        37.93
14        7.97        38.70
15        8.38        39.35
16        8.49        39.93
17        8.48        40.42
18        8.90        40.88
19        9.12        41.28
20        0.00        41.62
