        CG/HBCS        CG/ScaleStar
1        9.36        -0.34
2        22.40        0.02
3        21.53        0.18
4        16.22        1.03
5        3.18        -2.36
6        5.86        0.34
7        1.59        0.16
8        -0.43        -6.06
9        3.32        0.19
10        9.52        3.25
11        -0.72        2.97
12        2.51        8.38
13        7.19        12.78
14        9.31        14.77
15        4.38        12.02
16        10.88        18.00
17        13.47        20.39
18        14.35        21.57
19        14.58        22.54
20        0.00        24.39
