        CG/HBCS        CG/ScaleStar
1        31.75        -0.04
2        34.22        0.22
3        24.34        0.08
4        19.47        2.38
5        5.52        9.99
6        1.37        16.14
7        3.30        20.52
8        4.82        23.57
9        5.68        26.27
10        7.37        28.39
11        7.95        30.00
12        9.19        31.51
13        9.32        32.78
14        9.95        33.85
15        10.23        34.78
16        10.67        35.68
17        11.11        36.38
18        11.35        37.00
19        11.84        37.63
20        0.00        38.15
