        CG/HBCS        CG/ScaleStar
1        39.99        0.05
2        41.03        0.13
3        28.41        8.51
4        8.88        17.55
5        -0.02        23.27
6        1.74        27.31
7        3.74        30.27
8        4.60        32.43
9        5.53        34.13
10        6.11        35.54
11        6.89        36.69
12        7.35        37.61
13        7.50        38.41
14        7.96        39.10
15        7.94        39.72
16        8.01        40.27
17        8.28        40.75
18        8.59        41.20
19        8.66        41.58
20        0.00        41.91
