        CG/HBCS        CG/ScaleStar
1        9.42        -0.12
2        25.95        0.00
3        21.48        -0.24
4        11.37        0.41
5        15.84        0.64
6        3.15        0.08
7        0.67        0.01
8        0.40        0.01
9        2.37        0.82
10        2.64        2.96
11        4.59        6.38
12        6.55        9.53
13        7.90        12.75
14        10.01        14.74
15        11.84        16.73
16        13.04        18.28
17        15.18        20.28
18        15.55        21.63
19        16.38        22.89
20        0.00        24.29
