        CG/HBCS        CG/ScaleStar
1        24.58        0.14
2        29.63        0.00
3        32.43        -3.44
4        24.50        0.06
5        2.33        -4.31
6        0.53        4.26
7        -1.61        5.64
8        3.97        14.34
9        -1.31        12.54
10        6.42        20.66
11        2.93        18.34
12        9.87        25.01
13        4.98        21.62
14        11.48        28.15
15        5.69        24.06
16        12.99        30.56
17        8.81        28.04
18        13.80        32.46
19        12.53        32.35
20        0.00        34.00
