        CG/HBCS        CG/ScaleStar
1        34.00        0.11
2        38.79        0.02
3        32.15        1.57
4        4.55        11.43
5        4.70        18.16
6        1.56        23.04
7        3.59        26.49
8        4.80        29.14
9        5.70        31.18
10        6.82        32.83
11        7.66        34.19
12        7.96        35.34
13        8.38        36.32
14        8.83        37.16
15        9.11        37.89
16        9.44        38.54
17        9.62        39.13
18        9.94        39.64
19        9.94        40.12
20        0.00        40.53
