        CG/HBCS        CG/ScaleStar
1        15.70        0.15
2        21.40        0.58
3        15.53        0.23
4        19.00        1.10
5        23.59        0.33
6        6.09        0.03
7        0.58        1.46
8        2.21        5.89
9        4.15        9.69
10        7.49        13.90
11        8.79        16.39
12        10.63        18.81
13        11.50        21.23
14        11.94        22.87
15        11.82        24.63
16        12.24        25.89
17        13.71        27.14
18        14.10        28.38
19        14.62        29.35
20        0.00        30.36
