        CG/HBCS        CG/ScaleStar
1        16.68        -0.23
2        22.44        0.02
3        -1.43        -17.68
4        18.28        -2.73
5        18.72        0.07
6        8.40        -3.31
7        0.16        1.47
8        1.81        5.05
9        4.14        9.42
10        8.14        13.99
11        -0.09        8.30
12        11.04        19.44
13        11.67        21.25
14        9.20        20.53
15        12.18        24.70
16        11.91        26.03
17        13.09        27.17
18        14.00        28.42
19        12.97        27.85
20        0.00        30.36
