        CG/HBCS        CG/ScaleStar
1        41.50        0.27
2        39.77        0.03
3        30.87        9.90
4        1.54        19.06
5        0.18        24.68
6        2.38        28.36
7        3.76        31.04
8        4.45        33.13
9        5.30        34.75
10        5.92        36.05
11        6.59        37.16
12        7.04        38.09
13        7.28        38.90
14        7.50        39.56
15        7.79        40.14
16        7.97        40.66
17        8.09        41.10
18        8.24        41.51
19        8.32        41.90
20        0.00        42.23
