        CG/HBCS        CG/ScaleStar
1        38.13        0.15
2        40.30        -0.01
3        29.39        7.07
4        14.10        16.60
5        0.46        22.43
6        1.69        26.52
7        3.36        29.48
8        4.94        31.75
9        5.67        33.56
10        6.48        34.96
11        6.86        36.15
12        7.17        37.17
13        7.51        38.00
14        7.96        38.76
15        8.29        39.41
16        8.50        39.97
17        8.75        40.48
18        8.90        40.93
19        9.03        41.34
20        0.00        41.69
