        CG/HBCS        CG/ScaleStar
1        -17.63        -9.52
2        -26.31        -17.62
3        16.57        -7.92
4        4.64        -7.61
5        25.88        4.13
6        -27.41        -13.90
7        7.87        0.19
8        10.55        -2.58
9        8.46        3.98
10        3.09        3.98
11        5.92        -1.16
12        9.64        3.43
13        9.72        3.52
14        15.12        9.29
15        13.19        7.23
16        17.87        12.23
17        17.05        17.05
18        17.28        17.28
19        17.28        17.28
20        0.00        19.43
