        CG/HBCS        CG/ScaleStar
1        34.80        0.14
2        40.16        0.11
3        28.94        3.48
4        11.36        13.66
5        -0.05        20.08
6        2.10        24.46
7        3.41        27.56
8        4.28        30.06
9        5.65        32.04
10        6.91        33.61
11        7.28        34.95
12        7.61        36.04
13        8.13        36.98
14        8.47        37.77
15        8.72        38.48
16        9.05        39.11
17        9.09        39.66
18        9.33        40.15
19        9.69        40.62
20        0.00        40.98
