        CG/HBCS        CG/ScaleStar
1        22.04        -3.05
2        29.16        0.50
3        33.62        0.28
4        24.99        0.05
5        2.18        0.08
6        0.49        4.30
7        2.52        9.87
8        4.94        14.31
9        4.98        17.48
10        6.33        20.59
11        8.11        22.85
12        9.76        25.03
13        10.66        26.58
14        11.48        28.19
15        12.00        29.37
16        12.60        30.54
17        13.10        31.50
18        13.54        32.46
19        14.09        33.25
20        0.00        34.00
