        CG/HBCS        CG/ScaleStar
1        33.28        0.02
2        36.72        -1.69
3        30.86        -0.36
4        15.31        7.32
5        0.12        14.88
6        1.24        20.13
7        2.78        23.65
8        4.92        26.60
9        6.14        28.98
10        7.28        30.85
11        7.44        32.31
12        8.43        33.61
13        8.87        34.71
14        9.20        35.68
15        9.74        36.54
16        9.95        37.23
17        10.41        37.89
18        10.66        38.46
19        10.83        39.01
20        0.00        39.47
