        CG/HBCS        CG/ScaleStar
1        33.05        -0.00
2        33.90        -2.32
3        27.43        0.04
4        21.34        4.96
5        1.52        13.13
6        1.35        17.97
7        2.94        22.28
8        4.54        25.41
9        6.51        27.78
10        6.92        29.69
11        8.14        31.39
12        8.51        32.77
13        8.96        33.84
14        9.73        34.88
15        10.20        35.82
16        10.46        36.62
17        10.61        37.27
18        11.23        37.89
19        11.41        38.45
20        0.00        38.96
