        CG/HBCS        CG/ScaleStar
1        15.64        0.37
2        23.70        -0.06
3        20.36        0.33
4        17.62        1.75
5        7.94        0.02
6        14.50        -0.08
7        4.82        0.45
8        2.18        0.90
9        1.48        5.12
10        4.69        8.56
11        6.07        12.49
12        8.77        15.00
13        10.02        16.88
14        12.15        19.44
15        12.47        21.27
16        13.48        22.58
17        14.05        23.99
18        14.97        25.50
19        15.96        26.65
20        0.00        27.76
