        CG/HBCS        CG/ScaleStar
1        31.81        0.06
2        33.57        0.44
3        30.00        0.08
4        12.06        0.08
5        3.34        4.64
6        0.21        11.12
7        1.85        16.14
8        5.01        20.02
9        6.31        22.85
10        7.78        25.26
11        8.64        27.14
12        8.99        28.86
13        9.66        30.31
14        10.50        31.54
15        11.15        32.66
16        11.47        33.55
17        12.45        34.44
18        12.57        35.20
19        13.26        35.87
20        0.00        36.51
