        CG/HBCS        CG/ScaleStar
1        34.70        0.01
2        40.84        0.09
3        29.21        3.40
4        9.30        13.62
5        0.19        20.06
6        2.24        24.37
7        3.08        27.53
8        4.81        30.03
9        5.73        31.95
10        6.94        33.55
11        7.50        34.90
12        7.66        35.98
13        8.08        36.95
14        8.75        37.76
15        8.98        38.46
16        9.16        39.08
17        9.29        39.64
18        9.62        40.12
19        9.58        40.58
20        0.00        40.97
