        CG/HBCS        CG/ScaleStar
1        41.12        0.22
2        40.45        -0.00
3        31.19        9.80
4        2.27        19.09
5        0.16        24.78
6        2.11        28.47
7        3.43        31.18
8        4.37        33.19
9        5.41        34.83
10        6.15        36.16
11        6.57        37.22
12        6.97        38.17
13        7.38        38.99
14        7.64        39.64
15        7.76        40.21
16        7.98        40.72
17        8.24        41.19
18        8.30        41.59
19        8.50        41.96
20        0.00        42.28
