        CG/HBCS        CG/ScaleStar
1        40.38        0.32
2        40.74        0.04
3        31.60        8.75
4        8.81        17.62
5        0.11        23.42
6        1.97        27.48
7        3.57        30.37
8        4.63        32.54
9        5.58        34.29
10        6.08        35.65
11        6.75        36.80
12        7.01        37.70
13        7.52        38.52
14        7.83        39.23
15        8.12        39.84
16        8.23        40.37
17        8.40        40.87
18        8.57        41.29
19        8.64        41.69
20        0.00        42.03
