        CG/HBCS        CG/ScaleStar
1        20.56        0.98
2        19.34        0.04
3        27.22        0.10
4        26.51        0.04
5        18.07        0.16
6        0.60        0.44
7        1.26        5.88
8        3.69        10.15
9        5.76        14.68
10        7.14        17.64
11        8.27        20.48
12        9.53        22.51
13        9.67        24.38
14        10.92        26.04
15        11.46        27.30
16        13.01        28.65
17        13.27        29.71
18        13.95        30.80
19        14.61        31.64
20        0.00        32.51
