        CG/HBCS        CG/ScaleStar
1        16.32        0.11
2        23.16        0.02
3        13.95        0.42
4        24.66        1.90
5        20.26        0.04
6        14.29        0.17
7        0.19        1.46
8        2.48        6.17
9        5.22        10.24
10        6.99        14.00
11        9.16        16.56
12        10.06        18.88
13        10.58        21.23
14        11.29        22.73
15        11.53        24.67
16        12.19        26.03
17        12.98        27.17
18        13.97        28.46
19        14.92        29.47
20        0.00        30.41
