        CG/HBCS        CG/ScaleStar
1        33.39        0.07
2        36.08        -0.23
3        29.89        -0.18
4        18.22        7.31
5        0.23        14.91
6        1.32        20.16
7        2.73        23.55
8        4.68        26.56
9        6.12        28.97
10        7.17        30.87
11        7.69        32.37
12        8.04        33.59
13        8.74        34.71
14        9.60        35.73
15        10.07        36.55
16        10.11        37.26
17        10.30        37.92
18        10.57        38.48
19        10.60        39.01
20        0.00        39.48
