        CG/HBCS        CG/ScaleStar
1        32.32        0.06
2        34.23        0.16
3        30.84        0.08
4        12.79        0.16
5        7.67        4.56
6        0.47        11.23
7        1.81        15.95
8        5.03        19.91
9        6.88        22.65
10        7.89        25.15
11        8.18        27.02
12        9.05        28.76
13        9.23        30.10
14        10.38        31.38
15        11.32        32.58
16        11.76        33.41
17        12.45        34.38
18        12.77        35.11
19        13.02        35.81
20        0.00        36.43
