        CG/HBCS        CG/ScaleStar
1        38.81        0.24
2        41.21        -0.10
3        26.09        7.11
4        13.27        16.60
5        0.41        22.50
6        1.56        26.54
7        3.48        29.44
8        4.64        31.74
9        5.25        33.49
10        6.28        35.02
11        6.95        36.19
12        7.53        37.17
13        7.59        38.02
14        7.94        38.74
15        8.16        39.39
16        8.48        39.97
17        8.67        40.48
18        8.79        40.92
19        8.86        41.34
20        0.00        41.67
