        CG/HBCS        CG/ScaleStar
1        32.83        0.14
2        35.72        -1.04
3        29.98        0.21
4        19.95        4.90
5        0.46        13.06
6        1.06        17.78
7        3.39        22.13
8        4.56        25.43
9        5.59        27.66
10        7.14        29.63
11        7.86        31.35
12        8.43        32.74
13        8.80        33.80
14        9.35        34.84
15        10.06        35.73
16        10.40        36.55
17        10.93        37.23
18        11.33        37.85
19        11.36        38.40
20        0.00        38.91
