        CG/HBCS        CG/ScaleStar
1        18.72        0.30
2        23.54        0.11
3        15.30        -0.05
4        19.99        -3.07
5        22.74        0.10
6        9.58        0.09
7        0.19        1.52
8        3.01        6.10
9        4.55        9.99
10        7.67        14.02
11        8.43        16.62
12        10.28        19.19
13        11.26        21.28
14        12.34        22.95
15        12.61        24.83
16        12.45        26.15
17        12.80        27.21
18        13.81        28.44
19        14.97        29.41
20        0.00        30.36
