        CG/HBCS        CG/ScaleStar
1        39.90        0.20
2        41.13        -0.04
3        27.72        8.64
4        9.13        17.55
5        -0.26        23.34
6        1.75        27.38
7        3.75        30.30
8        4.83        32.49
9        5.53        34.22
10        6.21        35.58
11        6.76        36.70
12        7.09        37.62
13        7.64        38.46
14        7.97        39.15
15        8.05        39.76
16        8.14        40.29
17        8.50        40.80
18        8.58        41.22
19        8.80        41.62
20        0.00        41.95
