        CG/HBCS        CG/ScaleStar
1        41.47        0.14
2        40.19        0.04
3        28.86        9.99
4        5.26        19.11
5        0.26        24.79
6        2.26        28.48
7        3.49        31.18
8        4.43        33.24
9        5.54        34.84
10        6.27        36.21
11        6.54        37.26
12        6.92        38.17
13        7.27        39.00
14        7.65        39.64
15        7.77        40.23
16        8.03        40.73
17        8.15        41.20
18        8.30        41.60
19        8.30        41.98
20        0.00        42.30
