        CG/HBCS        CG/ScaleStar
1        32.71        0.01
2        35.32        -1.37
3        15.90        -19.05
4        18.55        4.86
5        1.61        13.09
6        0.48        17.00
7        -6.26        14.91
8        4.50        25.37
9        6.31        27.86
10        6.12        28.79
11        8.37        31.34
12        9.01        32.73
13        8.94        33.86
14        8.62        34.20
15        10.20        35.76
16        10.62        36.55
17        10.71        37.08
18        10.59        37.58
19        11.16        38.38
20        0.00        38.88
